x1,x2,price_group,price
55.339466,0.83824885,0 to 200k ($),179900
51.191673,4.7077785,0 to 200k ($),189000
56.911263,5.4146366,0 to 200k ($),195000
59.147427,-1.5987405,0 to 200k ($),148000
56.803158,6.5203114,0 to 200k ($),199000
58.93894,-1.024554,0 to 200k ($),145000
54.794216,-1.628417,0 to 200k ($),170000
56.73491,-0.4242866,0 to 200k ($),199499
15.189103,13.84535,200k to 400k ($),299999
51.85952,18.92543,200k to 400k ($),289000
52.17572,18.71826,200k to 400k ($),259200
54.741295,9.405485,200k to 400k ($),220000
50.629368,19.183352,200k to 400k ($),289000
48.43854,-4.7630076,200k to 400k ($),295000
57.39268,-4.506494,200k to 400k ($),299900
50.76759,-6.043774,200k to 400k ($),250000
59.603905,-0.35611492,200k to 400k ($),220000
55.30256,3.261607,200k to 400k ($),220700
16.807579,-13.680935,200k to 400k ($),237000
20.100096,15.596991,200k to 400k ($),285000
35.5994,4.6657434,200k to 400k ($),219900
37.08483,-28.222782,200k to 400k ($),290000
37.469868,-28.456285,200k to 400k ($),296000
60.016937,-0.06486461,200k to 400k ($),299999
58.56706,4.9000983,200k to 400k ($),245000
53.85212,-0.7375587,200k to 400k ($),268800
36.927696,11.358881,200k to 400k ($),210900
55.5563,-5.9791045,200k to 400k ($),225000
36.757504,-31.524616,200k to 400k ($),281000
53.582935,20.495884,200k to 400k ($),299999
39.634697,12.062269,200k to 400k ($),299900
28.06258,-7.983601,200k to 400k ($),275000
37.979343,6.427758,200k to 400k ($),264900
35.109695,-27.811838,200k to 400k ($),293000
13.798347,-8.593944,200k to 400k ($),275000
47.69603,-4.8235397,200k to 400k ($),299000
47.76596,-4.819811,200k to 400k ($),289000
-3.982034,-2.5582142,200k to 400k ($),329000
-10.093955,-2.8229601,200k to 400k ($),399000
-22.098818,12.315213,200k to 400k ($),325000
35.193333,10.64692,200k to 400k ($),389900
51.789776,-2.3179395,200k to 400k ($),360000
54.937084,-8.778031,200k to 400k ($),344900
56.239582,1.8002809,200k to 400k ($),385000
19.335344,-16.731165,200k to 400k ($),375000
55.382275,-5.3091235,200k to 400k ($),379999
49.296314,13.962944,200k to 400k ($),375000
52.161304,-3.3765757,200k to 400k ($),324820
13.097399,-15.235107,200k to 400k ($),330000
-9.951998,30.225973,200k to 400k ($),399890
14.133294,-8.786462,200k to 400k ($),336800
-9.989952,30.23867,200k to 400k ($),396015
-38.979214,-0.3009908,200k to 400k ($),399500
-4.5494328,7.624427,200k to 400k ($),399500
54.55116,-0.28257012,200k to 400k ($),349000
56.33749,1.3065323,200k to 400k ($),375000
38.13405,18.601171,200k to 400k ($),374900
-4.6084433,16.798885,200k to 400k ($),325000
25.349298,-13.344424,200k to 400k ($),349900
14.084166,-8.368811,200k to 400k ($),312200
14.132655,-8.78549,200k to 400k ($),335800
59.578327,9.470729,200k to 400k ($),350000
46.71088,-2.8582683,200k to 400k ($),392000
-3.0755596,-10.91782,200k to 400k ($),378780
52.055367,-2.7770462,200k to 400k ($),395000
27.059711,4.848588,200k to 400k ($),325000
0.99484515,11.389174,200k to 400k ($),399900
