County,2020,2021,% Change
Anderson,23.43,15.1,-35.55
Andrews,30.32,20.16,-33.51
Angelina,48.43,30.78,-36.44
Aransas,49.37,37.26,-24.53
Archer,2.95,1.28,-56.61
Armstrong,2.13,6.5,205.16
Atascosa,32.26,32.13,-0.40
Austin,12.53,14.64,16.84
Bailey,9.77,9.71,-0.61
Bandera,12.51,10.97,-12.31
Bastrop,24.26,26.28,8.33
Baylor,17.55,12.99,-25.98
Bee,23.58,29.02,23.07
Bell,33.64,30.73,-8.65
Bexar,53.03,55.41,4.49
Blanco,11.77,15.08,28.12
Borden,27.57,22.66,-17.81
Bosque,8.9,9.98,12.13
Bowie,31.55,39.46,25.07
Brazoria,24.74,25.17,1.74
Brazos,33.47,30.32,-9.41
Brewster,11.89,11.59,-2.52
Briscoe,7.18,9.6,33.70
Brooks,29.48,16.74,-43.22
Brown,45.61,41.89,-8.16
Burleson,15.28,12.4,-18.85
Burnet,19.51,20.65,5.84
Caldwell,13.5,12.31,-8.81
Calhoun,18.05,19.55,8.31
Callahan,13.27,5.56,-58.10
Cameron,33.21,34.5,3.88
Camp,18.97,18.47,-2.64
Carson,7.99,3.64,-54.44
Cass,19.31,14.8,-23.36
Castro,10.77,9.56,-11.23
Chambers,31.17,29.34,-5.87
Cherokee,25.97,24.13,-7.09
Childress,10.13,11.44,12.93
Clay,12.78,12.08,-5.48
Cochran,20.27,13.36,-34.09
Coke,6.8,13.67,101.03
Coleman,6.69,11.33,69.36
Collin,16.51,14.98,-9.27
Collingsworth,0,4.59,-
Colorado,21.22,15.32,-27.80
Comal,20.55,20.3,-1.22
Comanche,27.3,22.29,-18.35
Concho,6,6.1,1.67
Cooke,27.95,24.66,-11.77
Coryell,27.05,27.57,1.92
Cottle,0,0,-
Crane,11.59,7.56,-34.77
Crockett,8.46,13.58,60.52
Crosby,9.67,9.33,-3.52
Culberson,0,0,-
Dallam,21.66,24.4,12.65
Dallas,45.73,45.45,-0.61
Dawson,52.2,5.06,-90.31
DeWitt,25.46,23.79,-6.56
Deaf Smith,27.2,24.19,-11.07
Delta,3.55,4.93,38.87
Denton,19.65,20.65,5.09
Dickens,3.67,0,-100.00
Dimmit,13.26,0,-100.00
Donley,7.44,8.82,18.55
Duval,28.32,19.37,-31.60
Eastland,18.23,20.46,12.23
Ector,54.63,38.89,-28.81
Edwards,22.42,12.65,-43.58
El Paso,24.14,25.47,5.51
Ellis,19.31,20.01,3.63
Erath,16.91,15.25,-9.82
Falls,10.95,6.87,-37.26
Fannin,13.13,12,-8.61
Fayette,15.23,15.99,4.99
Fisher,4.59,0,-100.00
Floyd,14.24,23.07,62.01
Foard,4.42,0,-100.00
Fort Bend,20,20.41,2.05
Franklin,7.49,16.97,126.57
Freestone,18.43,16.26,-11.77
Frio,20.82,11.75,-43.56
Gaines,15.84,12.44,-21.46
Galveston,37.44,34,-9.19
Garza,4.44,5.08,14.41
Gillespie,7.74,10.26,32.56
Glasscock,17.54,11.75,-33.01
Goliad,16.09,24.88,54.63
Gonzales,18.24,21.47,17.71
Gray,43.59,32.01,-26.57
Grayson,25.18,24.25,-3.69
Gregg,39.75,36.84,-7.32
Grimes,20.14,19.64,-2.48
Guadalupe,21.45,15.27,-28.81
Hale,22.52,29.01,28.82
Hall,5.84,13.24,126.71
Hamilton,11.27,8.08,-28.31
Hansford,6.32,3.16,-50.00
Hardeman,5.18,5.6,8.11
Hardin,16.49,13.45,-18.44
Harris,57.43,57.45,0.03
Harrison,25.29,23.84,-5.73
Hartley,1.38,5.38,289.86
Haskell,10.68,9.45,-11.52
Hays,22.57,25.47,12.85
Hemphill,3.84,3.26,-15.10
Henderson,15.13,10.7,-29.28
Hidalgo,30.88,31.62,2.40
Hill,22.05,22.92,3.95
Hockley,34.2,24.8,-27.49
Hood,22.55,18.85,-16.41
Hopkins,12.32,8.95,-27.35
Houston,15.17,16.16,6.53
Howard,52,51.27,-1.40
Hudspeth,6.31,6.75,6.97
Hunt,19.41,23.54,21.28
Hutchinson,36.03,28.49,-20.93
Irion,15.09,20.74,37.44
Jack,17.42,9.7,-44.32
Jackson,18.6,16.37,-11.99
Jasper,28.97,28.13,-2.90
Jeff Davis,7.08,5.03,-28.95
Jefferson,53.71,52.1,-3.00
Jim Hogg,14.5,20.7,42.76
Jim Wells,45,44.73,-0.60
Johnson,21.96,22.2,1.09
Jones,15.31,9.87,-35.53
Karnes,22.91,17.38,-24.14
Kaufman,23.56,20.74,-11.97
Kendall,13.48,14.18,5.19
Kenedy,37.31,34.95,-6.33
Kent,14.59,0,-100.00
Kerr,19.5,19.63,0.67
Kimble,6.75,8.08,19.70
King,0,0,-
Kinney,0,0,-
Kleberg,38.02,41.68,9.63
Knox,7.68,3.57,-53.52
La Salle,11.5,13.89,20.78
Lamar,35.44,34.64,-2.26
Lamb,29.06,16.61,-42.84
Lampasas,26.45,22.58,-14.63
Lavaca,16.5,11.06,-32.97
Lee,16.69,17.16,2.82
Leon,9.32,11.06,18.67
Liberty,24.65,18.23,-26.04
Limestone,21.8,24.21,11.06
Lipscomb,6.53,9.79,49.92
Live Oak,1.23,0,-100.00
Llano,26.58,23.39,-12.00
Loving,103.83,117.95,13.60
Lubbock,66.14,63.04,-4.69
Lynn,9.08,13.78,51.76
Madison,12.52,13.24,5.75
Marion,19.07,20.29,6.40
Martin,26.75,33.39,24.82
Mason,4.66,5.31,13.95
Matagorda,51.27,51.65,0.74
Maverick,22.33,20.55,-7.97
McCulloch,19.55,26.47,35.40
McLennan,43.41,42.35,-2.44
McMullen,12.1,0,-100.00
Medina,20.74,17.71,-14.61
Menard,3.3,0,-100.00
Midland,37.21,34.32,-7.77
Milam,19.67,20.31,3.25
Mills,7.02,19.46,177.21
Mitchell,13.17,0,-100.00
Montague,16.7,17.99,7.72
Montgomery,19.49,22.02,12.98
Moore,25.41,27.53,8.34
Morris,19.7,16.87,-14.37
Motley,1.67,6.83,308.98
Nacogdoches,35.98,27.4,-23.85
Navarro,36.36,33.98,-6.55
Newton,11.89,9.33,-21.53
Nolan,19.1,33.8,76.96
Nueces,58.84,57.47,-2.33
Ochiltree,19.14,21.8,13.90
Oldham,10.42,3.77,-63.82
Orange,23.84,25.18,5.62
Palo Pinto,35.71,28.51,-20.16
Panola,31.69,30.54,-3.63
Parker,17.51,19.82,13.19
Parmer,11.16,9.51,-14.78
Pecos,18.73,7.38,-60.60
Polk,30.15,27.04,-10.32
Potter,62.08,60.63,-2.34
Presidio,2.74,1.11,-59.49
Rains,7.74,3.25,-58.01
Randall,18.84,21.22,12.63
Reagan,8.34,7.57,-9.23
Real,17.95,42.22,135.21
Red River,16.23,11.28,-30.50
Reeves,20.7,12.86,-37.87
Refugio,13.52,20.85,54.22
Roberts,1.18,0,-100.00
Robertson,22.08,19.71,-10.73
Rockwall,17.76,17.22,-3.04
Runnels,21.17,18.18,-14.12
Rusk,37.97,31.69,-16.54
Sabine,11.75,11.67,-0.68
San Augustine,12.4,27.38,120.81
San Jacinto,32.44,0,-100.00
San Patricio,26.56,22.42,-15.59
San Saba,24.73,8.54,-65.47
Schleicher,8.84,7.12,-19.46
Scurry,21.36,30.78,44.10
Shackelford,5.86,5.83,-0.51
Shelby,23.2,19.5,-15.95
Sherman,2.66,0,-100.00
Smith,33.59,29.8,-11.28
Somervell,16.58,14.04,-15.32
Starr,19.18,14.58,-23.98
Stephens,31.16,25.07,-19.54
Sterling,18.38,8.32,-54.73
Stonewall,3.01,0,-100.00
Sutton,9.11,11.17,22.61
Swisher,40.87,36.67,-10.28
Tarrant,38.89,39.04,0.39
Taylor,43.04,41.48,-3.62
Terrell,0,0,-
Terry,25.37,19.56,-22.90
Throckmorton,6.75,7.54,11.70
Titus,33.18,31.88,-3.92
Tom Green,50.23,46.64,-7.15
Travis,50.2,48.15,-4.08
Trinity,7.54,10.51,39.39
Tyler,13.8,15.03,8.91
Upshur,20.39,18.69,-8.34
Upton,8.15,6.08,-25.40
Uvalde,47.44,49.95,5.29
Val Verde,27.91,9.85,-64.71
