zpid,propertyTaxRate,zipcode,longitude,price,livingAreaValue,streetAddress,homeType,livingAreaUnits,bathrooms,annualHomeownersInsurance,state,yearBuilt,monthlyHoaFee,latitude,bedrooms,livingArea,city,resoFacts.hasGarage,resoFacts.waterViewYN,resoFacts.aboveGradeFinishedArea,resoFacts.mainLevelBathrooms,resoFacts.hasPrivatePool,resoFacts.hasFireplace,resoFacts.garageSpaces,resoFacts.mainLevelBedrooms,resoFacts.hasWaterfrontView,resoFacts.lotSize,resoFacts.stories,resoFacts.livingArea,resoFacts.bedrooms,resoFacts.architecturalStyle,resoFacts.structureType,resoFacts.roofType,resoFacts.bathroomsPartial,resoFacts.bathroomsHalf,resoFacts.yearBuilt,resoFacts.bathroomsFull,resoFacts.elevation,resoFacts.attic,resoFacts.frontageLength,resoFacts.hasCooling,resoFacts.belowGradeFinishedArea,resoFacts.hasElectricOnProperty,resoFacts.foundationArea,resoFacts.zoning,resoFacts.hoaFee,resoFacts.basementYN,resoFacts.taxAnnualAmount,resoFacts.parking,resoFacts.hasView,resoFacts.entryLocation,resoFacts.levels,resoFacts.basement,resoFacts.waterView,resoFacts.hasAttachedGarage,resoFacts.bathrooms,resoFacts.homeType,resoFacts.isSeniorCommunity,resoFacts.municipality,resoFacts.bathroomsThreeQuarter,resoFacts.hasSpa,resoFacts.hasHeating,resoFacts.buildingArea,resoFacts.storiesTotal,resoFacts.fireplaces,resoFacts.hasCarport,resoFacts.openParkingSpaces,solarPotential.sunScore,solarPotential.solarFactor,solarPotential.buildFactor,solarPotential.climateFactor,solarPotential.electricityFactor,mortgageRates.arm5Rate,mortgageRates.fifteenYearFixedRate,mortgageRates.thirtyYearFixedRate,PperSQ,geometry,NearestDT,NearestLrgAirport,NearestMedAirport,avgCheap,avgExp,MedianHHInc
71262940,0.63,29708,-81.00717,650000,2699,195 Shoreline Pkwy,SINGLE_FAMILY,sqft,3.0,2730,SC,2004,13,35.0448,4,2699,Tega Cay,True,False,"2,699",1,True,True,2,3,True,0.32 Acres,1,"2,699 sqft",4,Transitional,House,Fiberglass,1,1,2004,2,900,Pull Down Stairs,0,True,0,True,0,R1,$150 annually,False,3522,0,False,Main,Two,None,,True,3,SingleFamily,True,Franklin,0,False,True,"2,699",1,1,False,0,76.1,3.04,64.0,6.58,2.49,5.693,5.134,5.922,240.8299370137088,POINT (-81.00717 35.0448),1.3818027239238593,12.215514359502764,29.042597433201763,2.037166739914731,2.8823901438349315,112955.0
67940085,1.9,16509,-80.063385,399000,2637,6024 Courtland Dr,SINGLE_FAMILY,sqft,4.0,1676,PA,2003,13,42.072174,4,2637,Erie,True,False,"2,700",1,True,True,2,0,True,0.37 Acres,2,"2,637 sqft",4,Traditional,House,Asphalt,1,1,2003,3,900,Pull Down Stairs,116,True,0,True,0,A-RES,$150 annually,False,6649,6,False,Main,Two,"Finished,Full",,True,4,SingleFamily,True,Millcreek Township,0,False,True,"2,637",1,1,False,0,79.94,3.44,68.0,5.97,2.53,5.803,5.518,6.538,151.30830489192263,POINT (-80.063385 42.072174),1.4218869410993964,90.62972461118888,5.730889972720286,1.6874807450734075,3.2502125308791854,67083.0
71061935,1.09,32712,-81.53457,499900,2586,3936 Long Branch Ln,SINGLE_FAMILY,sqft,3.0,2100,FL,2005,41,28.742865,4,2586,Apopka,True,False,"2,700",1,True,False,3,0,True,0.28 Acres,1,"2,586 sqft",4,Traditional,House,Shingle,1,0,2005,3,900,Walk-In Closet(s),0,True,0,True,0,PUD,$41 monthly,False,3286,3,False,Main,One,None,,True,3,SingleFamily,True,Franklin,0,False,True,"3,614",1,1,False,0,73.29,3.56,59.2,6.77,3.76,5.604,5.44,6.338,193.31013147718485,POINT (-81.53457 28.742865),3.9186069511298887,18.18549015854551,17.52582371925015,6.795654981573953,3.028308840848817,95486.0
70931874,1.12,28348,-78.93198,300000,2636,3933 Fox Meadow Ln,SINGLE_FAMILY,sqft,3.0,1260,NC,2005,13,34.973026,4,2636,Hope Mills,True,False,"2,700",1,True,True,2,0,True,0.28 Acres,2,"2,636 sqft",4,Two Story,House,Shingle,1,1,2005,2,900,Pull Down Stairs,0,True,0,True,0,R1,$150 annually,False,3298,0,False,Main,Two,None,,True,3,SingleFamily,True,Franklin,0,False,True,0,1,1,False,0,72.5,3.04,60.0,6.58,2.88,5.75,5.405,6.021,113.80880121396055,POINT (-78.93198 34.973026),1.9697710337456966,62.89221973855986,3.1884316196444775,3.94491318632473,5.0886234730514,53785.0
83348915,1.01,30907,-82.07336,375000,2706,788 Locks Way,SINGLE_FAMILY,sqft,3.0,1575,GA,2003,25,33.557938,4,2706,Martinez,True,False,"2,700",1,True,True,2,0,True,0.40 Acres,2,"2,706 sqft",4,Traditional,House,Composition,1,1,2003,2,900,Pull Down Stairs,0,True,0,True,0,R1,$300 annually,False,2997,2,False,Main,Two,None,,True,3,SingleFamily,True,Franklin,0,False,True,"2,706",1,1,False,0,78.13,3.2,64.8,6.63,3.08,5.75,5.188,6.231,138.5809312638581,POINT (-82.07336 33.557938),3.394044633910369,110.8318209904282,6.599779463768958,3.299091683237912,4.831972708513535,123333.0
61405018,0.96,23323,-76.30949,549000,2626,2254 Angler Ln,SINGLE_FAMILY,sqft,3.0,2306,VA,2003,32,36.73532,5,2626,Chesapeake,True,True,"2,700",1,True,True,2,0,True,0.36 Acres,2,"2,626 sqft",5,Transitional,House,Asphalt Shingle,1,1,2003,2,900,Scuttle,0,True,0,True,0,R1,$32 monthly,False,4559,0,True,Main,Two,Crawl Space,Water,True,3,SingleFamily,True,Franklin,0,False,True,"2,626",1,1,False,0,92.06,3.04,80.0,6.48,2.54,6.0,5.055,5.853,209.06321401370906,POINT (-76.30949 36.73532),0.7865050861672583,77.00999534973558,12.517164485106603,2.9963854964512646,2.6584628237219237,119750.0
71353496,0.73,32536,-86.60063,425000,2621,2164 Hagood Loop,SINGLE_FAMILY,sqft,3.0,1785,FL,2005,13,30.767857,4,2621,Crestview,True,False,"2,700",1,True,True,2,0,True,0.26 Acres,1,"2,621 sqft",4,Contemporary,House,Roof Dimensional Shg,1,0,2005,3,900,Pull Down Stairs,0,True,0,True,0,R1,$150 annually,False,102,2,False,Main,Two,None,,True,3,SingleFamily,True,Franklin,0,False,True,"2,621",1,1,False,0,82.8,3.56,69.6,6.64,3.0,5.645,5.42,6.345,162.15185043876383,POINT (-86.60063 30.767857),1.993511898559956,224.8395875518955,4.731528135226838,2.2648052921954567,2.123232485758025,53952.0
123325995,0.6,65584,-92.090385,250000,2688,13915 Tassel Ln,SINGLE_FAMILY,sqft,4.0,1050,MO,2004,13,37.832466,5,2688,Saint Robert,True,False,"2,688",1,True,False,2,0,True,0.36 Acres,1,"2,688 sqft",5,"Traditional,Other",House,Shingle,1,1,2004,3,900,Pull Down Stairs,0,True,0,True,0,R1,$150 annually,False,1257,2,False,Main,Two,Full,,True,4,SingleFamily,True,Franklin,0,False,True,"2,688",1,0,False,0,78.13,3.2,64.8,6.63,3.08,5.692,5.414,6.248,93.00595238095238,POINT (-92.090385 37.832466),2.946407350251711,112.8673694028768,6.845239115836971,3.1064589508390674,2.202624765537218,76746.0
70745559,0.91,32065,-81.81511,425000,2570,517 MILLHOUSE LN,SINGLE_FAMILY,sqft,3.0,1785,FL,2004,4,30.186865,5,2570,Orange Park,True,False,"2,700",1,True,True,2,0,True,0.30 Acres,2,"2,570 sqft",5,Traditional,House,Shingle,1,0,2004,3,900,Pull Down Stairs,0,True,0,True,0,R1,$50 annually,False,6293,2,False,Main,Split Level,None,,False,3,SingleFamily,True,Franklin,0,False,True,0,1,1,False,0,74.18,3.56,60.8,6.66,3.15,5.645,5.42,6.345,165.36964980544747,POINT (-81.81511 30.186865),1.162308296125798,22.487127347654845,8.724525957562186,2.0858169176297525,3.2608214926577888,93431.0
74822739,1.56,49090,-86.25165,425000,2554,72746 Faye Ct,SINGLE_FAMILY,sqft,3.0,1785,MI,2004,13,42.381615,4,2554,South Haven,True,False,"2,700",1,True,True,2,0,True,0.40 Acres,2,"2,554 sqft",4,Ranch,House,Composition,1,0,2004,3,900,Pull Down Stairs,0,True,0,True,0,R1,$150 annually,False,3656,0,False,Main,Two,None,,True,3,SingleFamily,True,Franklin,0,True,True,"1,568",1,1,False,0,78.13,3.2,64.8,6.63,3.08,5.689,5.653,6.481,166.40563821456539,POINT (-86.25165 42.381615),1.430536508324111,87.42473292849976,37.24220356170088,1.9869588413455872,1.8349752504799584,39405.0
66206469,1.32,34953,-80.3972,530000,2500,1601 SW Crawford Ave,SINGLE_FAMILY,sqft,3.0,2226,FL,2004,13,27.250288,5,2500,Port Saint Lucie,True,False,"2,700",1,True,True,2,0,True,0.27 Acres,1,"2,500 sqft",5,Contemporary,House,Comp Shingle,1,0,2004,3,900,Pull Down Stairs,0,True,0,True,0,RS-2PS,$150 annually,False,4365,2,False,Main,1.00,None,,True,3,SingleFamily,True,Franklin,0,False,True,"4,218",1,1,False,0,78.13,3.56,64.0,6.78,3.79,5.645,5.42,6.345,212.0,POINT (-80.3972 27.250288),1.2862752119276704,43.25068651719336,16.949574962131898,4.363279660606117,2.690859829794503,61310.0
81605517,1.31,67037,-97.26842,335000,2524,201 E Fieldstone Ct,SINGLE_FAMILY,sqft,3.0,1407,KS,2004,30,37.57904,4,2524,Derby,True,False,"1,323",1,True,True,2,0,True,0.39 Acres,1,"2,524 sqft",4,Traditional,House,Composition,1,0,2004,3,900,Pull Down Stairs,0,True,"1,201",True,0,R1,$360 annually,False,3898,2,False,Main,One Story,"Full,View Out,Finished",,True,3,SingleFamily,True,Franklin,0,True,True,0,1,1,False,0,78.13,3.2,64.8,6.63,3.08,5.704,5.442,6.425,132.7258320126783,POINT (-97.26842 37.57904),0.4225110929435773,122.10069602542859,2.955808574991925,3.6427993713942226,2.407465264534705,78676.0
62671449,0.78,30097,-84.14183,840000,2736,8270 Royal Melbourne Way,SINGLE_FAMILY,sqft,5.0,3528,GA,2004,258,34.064575,4,2736,Duluth,True,False,"2,700",2,True,True,2,3,True,0.41 Acres,1,"2,736 sqft",4,"European,Ranch,Traditional",House,"Composition,Shingle",1,2,2004,3,900,Pull Down Stairs,0,True,0,True,0,R1,"$3,100 annually",False,1490,0,True,Main,One,"Daylight,Exterior Entry,Finished,Finished Bath,Full,Interior Entry",,True,5,SingleFamily,True,Franklin,0,True,True,"2,736",1,2,False,0,78.13,3.2,64.8,6.63,3.08,5.647,5.207,5.981,307.0175438596491,POINT (-84.14183 34.064575),1.5891399568231546,33.773768709553515,15.94522802578219,1.872100588986741,5.7445798095004506,130042.0
94517940,0.76,47403,-86.54246,429000,2517,4241 S Clear View Dr,SINGLE_FAMILY,sqft,3.0,1802,IN,2005,13,39.117836,4,2517,Bloomington,True,False,"1,678",1,True,True,2,3,True,0.25 Acres,1,"2,517 sqft",4,Ranch,House,Shingle,1,0,2005,3,900,Pull Down Stairs,0,True,839,True,0,R1,$150 annually,False,1777,2,False,Main,One,"Crawl Space,Walk-Out Access",,True,3,SingleFamily,True,Franklin,0,False,True,"2,517",1,1,False,0,79.7,3.92,67.2,6.3,2.28,5.734,5.077,5.973,170.4410011918951,POINT (-86.54246 39.117836),3.823716039295453,43.43294736013756,4.436665340708047,2.6714077562116274,3.429192730010105,64233.0
81757208,1.19,55309,-93.753914,375000,2557,756 Harrison Dr,SINGLE_FAMILY,sqft,4.0,1575,MN,2003,13,45.322563,4,2557,Big Lake,True,False,"1,721",1,True,True,3,0,True,0.30 sqft,2,"2,557 sqft",4,Traditional,House,Asphalt,1,1,2003,2,900,Pull Down Stairs,0,True,836,True,922,R1,$150 annually,False,3950,3,False,Main,Two,"Block,Egress Window(s),Finished,Full,Sump Pump",,True,4,SingleFamily,True,Franklin,1,False,True,"2,557",1,1,False,0,74.99,3.12,63.2,6.17,2.5,5.78,5.503,6.197,146.65623777864684,POINT (-93.753914 45.322563),3.48854487532749,40.03467179454113,21.464219993751684,2.3056793839516416,2.514606220217879,76746.0
87987198,2.08,15136,-80.13478,567900,2712,7013 Pin Oak Ct,SINGLE_FAMILY,sqft,4.0,2385,PA,2005,13,40.474743,4,2712,Mc Kees Rocks,True,False,"2,700",1,True,True,2,0,True,0.33 Acres,2,"2,712 sqft",4,Traditional,House,Shingle,1,1,2005,3,900,Pull Down Stairs,0,True,0,True,0,R1,$150 annually,False,8959,2,False,Main,Two,"Walk-Out Access,Finishd",,True,4,SingleFamily,True,Franklin,0,False,True,"2,712",2,1,False,0,87.6,3.44,75.2,6.05,2.91,5.41,5.356,5.935,209.40265486725664,POINT (-80.13478 40.474743),2.0392084613657833,5.297362813731386,13.614625019702395,4.942810015782297,4.10860322835144,103242.0
237747985,0.95,30134,-84.84773,399999,2604,160 Ridge Brooke Ct,SINGLE_FAMILY,sqft,3.0,1680,GA,2005,13,33.807175,4,2604,Douglasville,True,False,"2,604",0,True,True,2,0,True,0.49 Acres,1,"2,604 sqft",4,Traditional,House,"Composition,Ridge Vents,Shingle",1,1,2005,2,900,Pull Down Stairs,0,True,0,True,0,R1,$150 annually,False,3621,2,True,Main,Three Or More,"Boat Door,Bath/Stubbed,Driveway Access,Daylight,Exterior Entry,Full",,True,3,SingleFamily,True,Franklin,0,False,True,"2,604",1,1,False,0,73.8,3.04,61.6,6.52,2.64,5.75,5.188,6.231,153.60944700460828,POINT (-84.84773 33.807175),7.227811231832275,26.87179070114812,18.877746882981366,6.806059667245027,6.77082459494421,74968.0
